RK,Name,Team,POS,Games_Played,At_Bats,Runs,Hits,AVG,2B,3B,Home_Runs,Runs_Batted_In,Total_Bases,Walks,Strikeouts,Stolen_Bases
1,Luke Voit,NYY,DH,56,213,41,59,0.277,5,0,22,52,130,17,54,0
2,Jose Abreu,CHW,1B,60,240,43,76,0.317,15,0,19,60,148,18,59,0
3,Marcell Ozuna,ATL,DH,60,228,38,77,0.338,14,0,18,56,145,38,60,0
4,Mike Trout,LAA,CF,53,199,41,56,0.281,9,2,17,46,120,35,56,1
4,Jose Ramirez,CLE,3B,58,219,45,64,0.292,16,1,17,46,133,31,43,10
4,Fernando Tatis Jr.,SD,SS,59,224,50,62,0.277,11,2,17,45,128,27,61,11
7,Nelson Cruz,MIN,DH,55,185,33,56,0.303,6,0,16,33,110,25,58,0
7,AJ Pollock,LAD,LF,55,196,30,54,0.276,9,0,16,34,111,12,45,2
7,Manny Machado,SD,3B,60,224,44,68,0.304,12,1,16,47,130,26,37,6
7,Kole Calhoun,ARI,RF,54,190,35,43,0.226,9,0,16,40,100,28,50,1
7,Adam Duvall,ATL,CF,57,190,34,45,0.237,8,0,16,33,101,15,54,0
7,Mookie Betts,LAD,RF,55,219,47,64,0.292,9,1,16,39,123,24,38,10
7,Teoscar Hernandez,TOR,RF,50,190,33,55,0.289,7,0,16,34,110,14,63,6
7,Pete Alonso,NYM,1B,57,208,31,48,0.231,6,0,16,35,102,24,61,1
15,Wil Myers,SD,RF,55,198,34,57,0.288,14,2,15,40,120,18,56,2
15,Eugenio Suarez,CIN,3B,58,198,29,40,0.202,8,0,15,38,93,30,67,2
15,Corey Seager,LAD,SS,52,212,38,65,0.307,12,1,15,41,124,17,37,1
18,Nick Castellanos,CIN,RF,60,218,37,49,0.225,11,2,14,34,106,19,69,0
18,George Springer,HOU,CF,51,189,37,50,0.265,6,2,14,32,102,24,38,1
18,Matt Olson,OAK,1B,60,210,28,41,0.195,4,1,14,42,89,34,77,1
18,Eloy Jimenez,CHW,LF,55,213,26,63,0.296,14,0,14,41,119,12,56,0
18,Ronald Acuna Jr.,ATL,RF,46,160,46,40,0.25,11,0,14,29,93,38,60,8
18,Brandon Lowe,TB,2B,56,193,36,52,0.269,9,2,14,37,107,25,58,3
24,Freddie Freeman,ATL,1B,60,214,51,73,0.341,23,1,13,53,137,45,37,2
24,Bryce Harper,PHI,DH,58,190,41,51,0.268,9,2,13,33,103,49,43,8
24,Miguel Sano,MIN,1B,53,186,31,38,0.204,12,0,13,25,89,18,90,0
24,Eddie Rosario,MIN,RF,57,210,31,54,0.257,7,0,13,42,100,19,34,3
24,Byron Buxton,MIN,CF,39,130,19,33,0.254,3,0,13,27,75,2,36,2
24,Juan Soto,WSH,RF,47,154,39,54,0.351,14,0,13,37,107,41,28,6
24,Keston Hiura,MIL,1B,59,217,30,46,0.212,4,0,13,32,89,16,85,3
31,Wilmer Flores,SF,3B,55,198,30,53,0.268,11,1,12,32,102,13,36,1
31,Christian Yelich,MIL,LF,58,200,39,41,0.205,7,1,12,22,86,46,76,4
31,Randal Grichuk,TOR,RF,55,216,38,59,0.273,9,0,12,35,104,13,49,1
31,Renato Nunez,BAL,1B,52,195,29,50,0.256,10,0,12,31,96,17,64,0
31,Jesse Winker,CIN,LF,54,149,27,38,0.255,7,0,12,23,81,28,46,1
31,Max Muncy,LAD,3B,58,203,36,39,0.192,4,0,12,27,79,39,60,1
31,Trea Turner,WSH,SS,59,233,46,78,0.335,15,4,12,41,137,22,36,12
31,Cody Bellinger,LAD,CF,56,213,33,51,0.239,10,0,12,30,97,30,42,6
31,Ian Happ,CHC,LF,57,198,27,51,0.258,11,1,12,28,100,30,63,1
40,Joey Votto,CIN,1B,55,186,32,42,0.226,8,0,11,22,83,37,43,0
40,Anthony Rizzo,CHC,1B,58,203,26,45,0.222,6,0,11,24,84,28,38,3
40,Salvador Perez,KC,C,37,150,22,50,0.333,12,0,11,32,95,3,36,1
40,Xander Bogaerts,BOS,SS,56,203,36,61,0.3,8,0,11,28,102,21,41,8
40,Trevor Story,COL,2B,59,235,41,68,0.289,13,4,11,28,122,24,63,15
40,J.T. Realmuto,PHI,C,47,173,33,46,0.266,6,0,11,32,85,16,48,4
40,Kyle Schwarber,CHC,LF,59,191,30,36,0.188,6,0,11,24,75,30,66,1
40,Brian Anderson,MIA,3B,59,200,27,51,0.255,7,1,11,38,93,22,66,0
40,Rafael Devers,BOS,3B,57,232,32,61,0.263,16,1,11,43,112,13,67,0
40,Lourdes Gurriel Jr.,TOR,LF,57,208,28,64,0.308,14,0,11,33,111,14,48,3
40,Anthony Santander,BAL,RF,37,153,24,40,0.261,13,1,11,32,88,10,25,0
