RK,Team,Roster,Active,Injured_Reserve,Total
1,Boston Red Sox,25,187232500,15689000,202921500
2,Chicago Cubs,25,194081714,11475000,205556714
3,New York Yankees,25,118832077,87252771,206084848
4,Los Angeles Dodgers,25,99803334,52316668,152120002
5,San Francisco Giants,25,157271237,21000000,178271237
6,St. Louis Cardinals,25,125365166,33005100,158370266
7,Washington Nationals,25,154176081,7539300,161715381
8,Houston Astros,25,147619666,12100000,159719666
9,Los Angeles Angels,25,132175083,26703500,158878583
10,New York Mets,25,91576770,50572500,142149270
11,Seattle Mariners,25,116382175,22482900,138865075
12,Colorado Rockies,25,125185509,20747500,145933009
13,Philadelphia Phillies,25,131152962,9559000,140711962
14,Texas Rangers,25,104349564,1668000,106017564
15,Cincinnati Reds,25,106440714,19982500,126423214
16,Milwaukee Brewers,25,108403700,13126700,121530400
17,Arizona Diamondbacks,25,96777231,11124600,107901831
18,Minnesota Twins,25,101056933,12270000,113326933
19,Cleveland Indians,25,88713833,30277868,118991701
20,Detroit Tigers,25,97988900,3934500,101923400
21,Atlanta Braves,25,89551043,23825000,113376043
22,Toronto Blue Jays,25,54568171,8603000,63171171
23,Kansas City Royals,25,67941887,28605350,96547237
24,San Diego Padres,25,63068635,10965200,74033835
25,Oakland Athletics,25,84345833,6972500,91318333
26,Chicago White Sox,25,83757121,4555000,88312121
27,Pittsburgh Pirates,25,54577502,20230500,74808002
28,Baltimore Orioles,25,61124882,11558000,72682882
29,Miami Marlins,25,69574714,1665000,71239714
30,Tampa Bay Rays,25,49084731,4360200,53444931
